Building Model Name, Z-axis Rotation (in degrees), X, Y, Z,Building,Address,Block & Lot,Census tract,Actual land,Actual total,Stories,Residential units,Commercial units,Year built,Building class,Toxic sites,Sale price,Sale date,"Unused buildable square feet (""air rights"")",Zoning map #,Zoning district,Lot Frontage,Lot Depth,Lot Area,Bldg Gross Area,Max Flr Area Ratio,Floors,Footprint,GraphNodeXOffset,GraphNodeYOffset
3259_Broadway,0,0,0,46,3259 Broadway,3259 Broadway,01998-0029,219,472500,2016000,4,N/A,1,1920,(E7),None Found,N/A,1/22/1982,-39766,5c,M1-2,199.83,100,19983,79708,6,4,19927,-32,0
605_W131st,0,0,0,39,605 W 131st St.,603 W 131 St.,01998-0026,219,67500,112050,1,N/A,1,1910 (estimated),Fireproof warehouse (E1),None Found,N/A,6/18/1990,4996,5c,M1-2,50,99.92,4996,4996,6,1,4996,-23,4
609_W131st,0,0,0,42,609 W 131st St.,607 W 131 St.,01998-0024,219,119700,224100,1,N/A,1,1910,Fireproof warehouse (E1),Hazardous Waste Corrective Act - Hazardous Waste Violation - Toxic Release Inventory Site - Haz Waste Treat/Store/Dispose,N/A,6/18/1990,9992,5c,M1-2,50,199.83,9992,9992,6,1,9992,-16,-4
615_W131st,0,0,0,38,615 W 131st St.,611 W 131 St.,01998-0017,219,945000,5400000,6,N/A,6,1924,Miscellaneous office building (O9),Brownfield Site - Air Discharge Facility - Hazardous Waste Violation,18603127,6/28/2007,-140229,5c,M1-2,175,199.83,34970,210000,6,6,35000,-5,0
635_W131st,0,0,0,28,635 W 131st St.,635 W 131 St.,01998-0013,219,202500,783000,2,N/A,2,1940 (estimated),Garage -  two or more stories (G1),None Found,2269960,6/28/2007,-1049,5c,M1-2,75,99.92,7494,16000,6,2,8000,5,4
641_W131st,0,0,0,25,641 W 131st St.,641 W 131 St.,01998-0010,219,189000,621000,2,N/A,1,1926,Garage -  two or more stories (G1),Tank Test Failure,4000000,8/14/2003,12140,5c,M1-2,150,99.92,14988,17800,6,2,8900,15,4
653_W131st,0,0,0,25,653 W 131st St.,653 W 131 St.,01998-0006,219,56250,103050,1,N/A,1,1930 (estimated),Factory -  industrial-miscellaneous (F9),None Found,4000000,8/14/2003,4996,5c,M2-3,50,99.92,4996,4996,6,1,4996,24,4
2307_Joe_Dimaggio_Highway,0,0,0,16,2307 Joe DiMaggio,2305 12 Ave.,01998-0003,219,121500,267750,2,N/A,1,1940,Miscellaneous warehouse (E9),None Found,N/A,11/5/2001,5383,5c,M2-3,69.92,100,6992,8588,6,2,4294,31,4
2311_Joe_Dimaggio_Highway,0,0,0,19,2311 Joe DiMaggio Highway,2311 12 Ave.,01998-0061,219,180000,508500,2,N/A,2,1912,Miscellaneous garage or gas station (G9),None Found,8000000,7/31/2007,0,5c,M2-3,99.92,100,9992,19984,6,2,9992,31,-4
640_W132st,0,0,0,21,640 W 132nd St.,,01998-0057,,146250,253350,1,,1,1910 (estimated),Miscellaneous garage or gas station (G9),None Found,8000000,7/31/2007,12490,5c,M2-3,99.92,100,9992,7500,6,1,7500,24,-4
